state,player_count,pop,urban%
Alabama,83,4887871,59
Alaska,1,737438,66
Arizona,15,7171646,89.8
Arkansas,49,3013825,56.2
California,395,39557045,95.2
Colorado,19,5695564,86.2
Connecticut,35,3572665,88
Delaware,9,967171,83.3
District of Columbia,72,702455,100
Florida,111,21299325,91.2
Georgia,128,10519475,75.1
Hawaii,2,1420491,91.9
Idaho,5,1754208,70.6
Illinois,255,12741080,88.5
Indiana,131,6691878,72.4
Iowa,22,3156145,64
Kansas,34,2911505,74.2
Kentucky,103,4468402,58.4
Louisiana,118,4659978,73.2
Maine,2,1338404,38.7
Maryland,71,6042718,87.2
Massachusetts,44,6902149,92
Michigan,148,9998915,74.6
Minnesota,50,5611179,73.3
Mississippi,88,2986530,49.3
Missouri,60,6126452,70.4
Montana,10,1062305,55.9
Nebraska,13,1929268,73.1
Nevada,10,3034392,94.2
New Hampshire,1,1356458,60.3
New Jersey,128,9032873,94.7
New Mexico,7,2095428,77.4
New York,356,19542209,87.9
North Carolina,125,10383620,66.1
North Dakota,6,760077,59.9
Ohio,176,11689442,77.9
Oklahoma,40,3943079,66.2
Oregon,29,4190713,81
Pennsylvania,212,12807060,78.7
Rhode Island,10,1057315,90.7
South Carolina,40,5084127,66.3
South Dakota,5,882235,56.7
Tennessee,85,6770010,66.4
Texas,175,28701845,84.7
Utah,23,3161105,90.6
Vermont,0,626299,38.9
Virginia,74,8517685,75.5
Washington,57,7535591,84
West Virginia,26,1805832,48.7
Wisconsin,57,5813568,70.2
Wyoming,6,577737,64.8
